Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22 05:00:00+00:00,0.25,0.25,0.25,0.25,0.25,0.0
2023-02-23 05:00:00+00:00,0.25,0.25,0.25,0.25,0.25,0.0
2023-02-24 05:00:00+00:00,0.25,0.25,0.25,0.25,0.25,0.0
2023-02-27 05:00:00+00:00,0.25,0.25,0.25,0.25,0.25,0.0
2023-02-28 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,112.0
2023-03-01 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-02 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-03 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-06 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-07 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-08 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-09 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-10 05:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-13 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-14 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-15 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-16 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-17 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-20 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-21 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-22 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-23 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-24 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-27 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-28 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-29 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-30 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-03-31 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-03 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-04 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-05 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-06 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-10 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-11 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-12 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-13 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-14 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-17 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-18 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-19 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-20 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-21 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-24 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-25 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-26 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-27 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-04-28 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-01 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-02 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-03 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-04 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-05 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-08 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-09 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-10 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-11 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-12 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-15 04:00:00+00:00,0.22,0.22,0.22,0.22,0.22,0.0
2023-05-16 04:00:00+00:00,0.1001,0.1001,0.1001,0.1001,0.1001,100.0
2023-05-17 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,100.0
2023-05-18 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-19 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-22 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-23 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-24 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-25 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-26 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-30 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-05-31 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-01 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-02 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-05 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-06 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-07 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-08 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-09 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-12 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-13 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-14 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-15 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-16 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-20 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-21 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-22 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-23 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-26 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-27 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-28 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-29 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-06-30 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-03 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-05 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-06 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-07 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-10 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-11 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-12 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-13 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-14 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-17 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-18 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-19 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-20 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-21 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-24 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-25 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-26 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-27 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-28 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-07-31 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-01 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-02 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-03 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-04 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-07 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-08 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-09 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-10 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-11 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-14 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-15 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-16 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-17 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-18 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-21 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-22 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-23 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-24 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-25 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-28 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-29 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-30 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-08-31 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-01 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-05 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-06 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-07 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-08 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-11 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-12 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-13 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-14 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-15 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-18 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-19 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-20 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-21 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-22 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-25 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-26 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-27 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-28 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-09-29 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-02 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-03 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-04 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-05 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-06 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-09 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-10 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-11 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-12 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-13 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-16 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-17 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-18 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-19 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-20 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-23 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-24 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-25 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-26 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-27 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-30 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-10-31 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-01 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-02 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-03 04:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-06 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-07 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-08 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-09 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-10 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-13 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-14 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-15 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-16 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-17 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-20 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-21 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-22 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-24 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-27 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-28 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-29 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-11-30 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-01 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-04 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-05 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-06 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-07 05:00:00+00:00,0.0295,0.0295,0.0295,0.0295,0.0295,0.0
2023-12-08 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,951.0
2023-12-11 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-12 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-13 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-14 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-15 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-18 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-19 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-20 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-21 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-22 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-26 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-27 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-28 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2023-12-29 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-02 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-03 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-04 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-05 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-08 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-09 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-10 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-11 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-12 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-16 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-17 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-18 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-19 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-22 05:00:00+00:00,0.1,0.1,0.1,0.1,0.1,0.0
2024-01-23 05:00:00+00:00,0.1,0.1499,0.1,0.14,0.14,1500.0
2024-01-24 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,100.0
2024-01-25 05:00:00+00:00,0.12,0.1732,0.12,0.1732,0.1732,1150.0
2024-01-26 05:00:00+00:00,0.145,0.17,0.145,0.1499,0.1499,1200.0
2024-01-29 05:00:00+00:00,0.214,0.26,0.193,0.193,0.193,8005.0
2024-01-30 05:00:00+00:00,0.3569,0.3569,0.18,0.1834,0.1834,6739.0
2024-01-31 05:00:00+00:00,0.1834,0.1834,0.1834,0.1834,0.1834,0.0
2024-02-01 05:00:00+00:00,0.1516,0.1516,0.1516,0.1516,0.1516,100.0
2024-02-02 05:00:00+00:00,0.1516,0.1516,0.1516,0.1516,0.1516,0.0
2024-02-05 05:00:00+00:00,0.1516,0.1516,0.1516,0.1516,0.1516,0.0
2024-02-06 05:00:00+00:00,0.1452,0.15,0.1452,0.15,0.15,450.0
2024-02-07 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,100.0
2024-02-08 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-09 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-12 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-13 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-14 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-15 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-16 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-20 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-21 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-22 05:00:00+00:00,0.15,0.15,0.15,0.15,0.15,0.0
2024-02-23 05:00:00+00:00,0.1006,0.1006,0.1006,0.1006,0.1006,100.0
2024-02-26 05:00:00+00:00,0.1006,0.1006,0.1006,0.1006,0.1006,0.0
2024-02-27 05:00:00+00:00,0.1006,0.1006,0.1006,0.1006,0.1006,0.0
2024-02-28 05:00:00+00:00,0.13,0.13,0.13,0.13,0.13,100.0
2024-02-29 05:00:00+00:00,0.13,0.13,0.13,0.13,0.13,0.0
2024-03-01 05:00:00+00:00,0.13,0.13,0.13,0.13,0.13,0.0
2024-03-04 05:00:00+00:00,0.13,0.13,0.13,0.13,0.13,0.0
2024-03-05 05:00:00+00:00,0.13,0.13,0.13,0.13,0.13,0.0
2024-03-06 05:00:00+00:00,0.1884,0.1899,0.1884,0.1899,0.1899,1100.0
2024-03-07 05:00:00+00:00,0.1899,0.1899,0.1899,0.1899,0.1899,0.0
