Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25 05:00:00+00:00,37.47,37.48,37.47,37.48,37.48,200.0
2022-10-05 04:00:00+00:00,31.39,31.49,31.3,31.49,31.49,500.0
2022-10-06 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-07 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-10 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-11 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-12 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-13 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-14 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-17 04:00:00+00:00,31.49,31.49,31.49,31.49,31.49,0.0
2022-10-18 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,100.0
2022-10-19 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-20 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-21 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-24 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-25 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-26 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-27 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-28 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-10-31 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-01 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-02 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-03 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-04 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-07 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-08 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-09 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-10 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-11 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-14 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-15 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-16 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-17 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-18 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-21 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-22 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-23 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-25 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-28 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-29 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-11-30 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-12-01 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-12-02 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-12-05 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-12-06 05:00:00+00:00,31.27,31.27,31.27,31.27,31.27,0.0
2022-12-07 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,100.0
2022-12-08 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-09 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-12 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-13 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-14 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-15 05:00:00+00:00,33.05,33.05,33.05,33.05,33.05,0.0
2022-12-16 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-19 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-20 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-21 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-22 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-23 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-27 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-28 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-29 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2022-12-30 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-03 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-04 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-05 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-06 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-09 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-10 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-11 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-12 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-13 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-17 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-18 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-19 05:00:00+00:00,32.8,32.8,32.8,32.8,32.8,100.0
2023-01-20 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-23 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-24 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-25 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-26 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-27 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-30 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-01-31 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-01 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-02 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-03 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-06 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-07 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-08 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-09 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-10 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-13 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-14 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-15 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-16 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-17 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-21 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-22 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-23 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-24 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-27 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-02-28 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-01 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-02 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-03 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-06 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-07 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-08 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-09 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-10 05:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-13 04:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-14 04:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-15 04:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-16 04:00:00+00:00,33.23,33.23,33.23,33.23,33.23,0.0
2023-03-17 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-20 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-21 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-22 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-23 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-24 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-27 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-28 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-29 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-30 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-03-31 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-03 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-04 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-05 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-06 04:00:00+00:00,34.66,34.66,34.66,34.66,34.66,178.0
2023-04-10 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-11 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-12 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-13 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-14 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-17 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-18 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-19 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-20 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-21 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-24 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-25 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-26 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-27 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-04-28 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-01 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-02 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-03 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-04 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-05 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-08 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-09 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-10 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-11 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-12 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-15 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-16 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-17 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-18 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-19 04:00:00+00:00,35.67,35.68,35.5,35.5,35.5,300.0
2023-05-22 04:00:00+00:00,35.59,35.59,35.59,35.59,35.59,100.0
2023-05-23 04:00:00+00:00,35.47,35.48,35.47,35.48,35.48,200.0
2023-05-24 04:00:00+00:00,34.97,34.97,34.97,34.97,34.97,100.0
2023-05-25 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-26 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-30 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-05-31 04:00:00+00:00,35.5,35.52,35.5,35.52,35.52,200.0
2023-06-01 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-06-02 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-06-05 04:00:00+00:00,33.32,33.32,33.32,33.32,33.32,0.0
2023-06-06 04:00:00+00:00,36.37,36.37,36.37,36.37,36.37,224.0
2023-06-07 04:00:00+00:00,36.31,36.31,36.24,36.25,36.25,400.0
2023-06-08 04:00:00+00:00,36.29,36.5,36.29,36.5,36.5,200.0
2023-06-09 04:00:00+00:00,36.5,36.5,36.5,36.5,36.5,0.0
2023-06-12 04:00:00+00:00,36.5,36.5,36.5,36.5,36.5,0.0
2023-06-13 04:00:00+00:00,36.5,36.5,36.5,36.5,36.5,0.0
2023-06-14 04:00:00+00:00,37.2,37.2,37.2,37.2,37.2,340.0
2023-06-15 04:00:00+00:00,37.2,37.2,37.2,37.2,37.2,0.0
2023-06-16 04:00:00+00:00,37.32,37.32,37.32,37.32,37.32,0.0
2023-06-20 04:00:00+00:00,37.32,37.32,37.32,37.32,37.32,0.0
2023-06-21 04:00:00+00:00,37.32,37.32,37.32,37.32,37.32,0.0
2023-06-22 04:00:00+00:00,37.2,37.2,37.2,37.2,37.2,119.0
2023-06-23 04:00:00+00:00,37.12,37.12,37.12,37.12,37.12,109.0
2023-06-26 04:00:00+00:00,36.85,36.99,36.85,36.99,36.99,200.0
2023-06-27 04:00:00+00:00,37.33,37.33,37.33,37.33,37.33,100.0
2023-06-28 04:00:00+00:00,37.08,37.35,37.08,37.35,37.35,230.0
2023-06-29 04:00:00+00:00,37.42,37.42,37.42,37.42,37.42,130.0
2023-06-30 04:00:00+00:00,37.42,37.42,37.42,37.42,37.42,0.0
2023-07-03 04:00:00+00:00,37.42,37.42,37.42,37.42,37.42,0.0
2023-07-05 04:00:00+00:00,37.42,37.42,37.42,37.42,37.42,0.0
2023-07-06 04:00:00+00:00,37.63,37.63,37.63,37.63,37.63,110.0
2023-07-07 04:00:00+00:00,37.63,37.63,37.63,37.63,37.63,0.0
2023-07-10 04:00:00+00:00,37.63,37.63,37.63,37.63,37.63,0.0
2023-07-11 04:00:00+00:00,37.63,37.63,37.63,37.63,37.63,0.0
2023-07-12 04:00:00+00:00,37.63,37.63,37.63,37.63,37.63,0.0
2023-07-13 04:00:00+00:00,38.41,38.41,38.41,38.41,38.41,100.0
2023-07-14 04:00:00+00:00,38.41,38.41,38.41,38.41,38.41,0.0
2023-07-17 04:00:00+00:00,38.48,38.48,38.48,38.48,38.48,100.0
2023-07-18 04:00:00+00:00,38.62,38.62,38.62,38.62,38.62,100.0
2023-07-19 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,100.0
2023-07-20 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-21 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-24 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-25 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-26 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-27 04:00:00+00:00,38.91,38.91,38.91,38.91,38.91,0.0
2023-07-28 04:00:00+00:00,38.99,38.99,38.99,38.99,38.99,200.0
2023-07-31 04:00:00+00:00,38.99,38.99,38.99,38.99,38.99,0.0
2023-08-01 04:00:00+00:00,39.06,39.06,38.99,39.04,39.04,725.0
2023-08-02 04:00:00+00:00,38.61,38.61,38.46,38.46,38.46,236.0
2023-08-03 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-04 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-07 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-08 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-09 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-10 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-11 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-14 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-15 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-16 04:00:00+00:00,38.46,38.46,38.46,38.46,38.46,0.0
2023-08-17 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,130.0
2023-08-18 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-21 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-22 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-23 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-24 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-25 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-08-28 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,142.0
2023-08-29 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,0.0
2023-08-30 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,0.0
2023-08-31 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,0.0
2023-09-01 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,0.0
2023-09-05 04:00:00+00:00,37.66,37.66,37.66,37.66,37.66,0.0
2023-09-06 04:00:00+00:00,38.43,38.43,38.38,38.38,38.38,200.0
2023-09-07 04:00:00+00:00,38.38,38.38,38.38,38.38,38.38,0.0
2023-09-08 04:00:00+00:00,38.38,38.38,38.38,38.38,38.38,0.0
2023-09-11 04:00:00+00:00,38.38,38.38,38.38,38.38,38.38,0.0
2023-09-12 04:00:00+00:00,38.38,38.38,38.38,38.38,38.38,0.0
2023-09-13 04:00:00+00:00,38.3,38.3,38.25,38.25,38.25,200.0
2023-09-14 04:00:00+00:00,38.25,38.25,38.25,38.25,38.25,0.0
2023-09-15 04:00:00+00:00,38.03,38.03,38.03,38.03,38.03,100.0
2023-09-18 04:00:00+00:00,38.03,38.03,38.03,38.03,38.03,0.0
2023-09-19 04:00:00+00:00,38.03,38.03,38.03,38.03,38.03,0.0
2023-09-20 04:00:00+00:00,37.79,37.79,37.67,37.67,37.67,200.0
2023-09-21 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,100.0
2023-09-22 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,0.0
2023-09-25 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,0.0
2023-09-26 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,0.0
2023-09-27 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,0.0
2023-09-28 04:00:00+00:00,37.25,37.25,37.25,37.25,37.25,0.0
2023-09-29 04:00:00+00:00,36.64,36.64,36.64,36.64,36.64,100.0
2023-10-02 04:00:00+00:00,36.53,36.53,36.53,36.53,36.53,100.0
2023-10-03 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,100.0
2023-10-04 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,0.0
2023-10-05 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,0.0
2023-10-06 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,0.0
2023-10-09 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,0.0
2023-10-10 04:00:00+00:00,37.51,37.54,37.51,37.54,37.54,260.0
2023-10-11 04:00:00+00:00,37.31,37.41,37.31,37.41,37.41,302.0
2023-10-12 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-13 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-16 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-17 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-18 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-19 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-20 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-23 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-24 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
2023-10-25 04:00:00+00:00,37.41,37.41,37.41,37.41,37.41,0.0
